doc_id,datetime,text,alt_text,media,likes,reposts,replies,commented_post,username,handle,user_description,user_image,user_followers,sponsored,target,condition,sequence,source
1,12.01.25 09:30,"Currently accepting applications for â€œfull-time resort lifeâ€ ğŸŒ´âœ¨
Floating breakfast, private pool, ocean viewsâ€¦ zero complaints.

#vacationmode #resortlife #travelgram",,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/food_resort_2.jpg,3421,219,87,,EunyeongM.,EunyeongM.,"Hi, Iâ€™m Eunyeong ğŸ‘‹
sharing bits of everyday life, small joys, travels, food, and everything in between",https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/resort_scene_3.jpg,,0,,separate posts,,
2,12.02.25 11:00,"Salt in the air, sun on my skin, and zero worries on my mind ğŸŒŠâœ¨
Wish I could bottle up this resort morning and replay it forever.

#vacaymode #resortlife #oceanbreeze #slowdays",,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/personB_2.jpg,1474,49,26,,EunyeongM.,EunyeongM.,"Hi, Iâ€™m Eunyeong ğŸ‘‹
sharing bits of everyday life, small joys, travels, food, and everything in between",https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/resort_scene_3.jpg,,0,,separate posts,,
3,12.02.25 20:30,"Sunset walks from the resort to the shoreline ğŸŒ…
Still canâ€™t believe this was our â€œbackyardâ€ for the week â€” waves, warm sand, and a sky that refused to chill. Already missing this place âœ¨",,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/resort_scene_4.jpg,4982,247,73,,EunyeongM.,EunyeongM.,"Hi, Iâ€™m Eunyeong ğŸ‘‹
sharing bits of everyday life, small joys, travels, food, and everything in between",https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/resort_scene_3.jpg,,0,,separate posts,,
4,12.03.25 11:25,"Resort mornings hit different ğŸŒ´â˜€ï¸
Poolside breakfast with fresh fruit, pancakes, and way too much coffee while staying at this dreamy vacation resort. Can every day start like this, please? #resortlife #vacationmode #breakfastgoals",,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/resort_food_1.jpg,1356,35,51,,EunyeongM.,EunyeongM.,"Hi, Iâ€™m Eunyeong ğŸ‘‹
sharing bits of everyday life, small joys, travels, food, and everything in between",https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/resort_scene_3.jpg,,0,,separate posts,,
5,12.04.25 18:30,"âœ¨ Evening calm at the resort ğŸŒŠ
Sat on this little dock and watched the sky turn pastel while the birds did their thing. Didnâ€™t realize how much I needed this reset until right now. ğŸ¤ #vacationmode #lakeside #sunsetmagic",,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/personB_1.jpg,1278,19,35,,EunyeongM.,EunyeongM.,"Hi, Iâ€™m Eunyeong ğŸ‘‹
sharing bits of everyday life, small joys, travels, food, and everything in between",https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/resort_scene_3.jpg,,0,,separate posts,,
6,12.05.25 15:30,"Vacation mode: ON ğŸ¹âœ¨
Beach breeze, salty rim, zero worries. Already missing this resort life.",,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/resort_food_3.jpg,3210,198,39,,EunyeongM.,EunyeongM.,"Hi, Iâ€™m Eunyeong ğŸ‘‹
sharing bits of everyday life, small joys, travels, food, and everything in between",https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/resort_scene_3.jpg,,0,,separate posts,,
7,12.05.25 22:00,"Golden hour at the resort ğŸŒ´âœ¨
Still canâ€™t believe this quiet little stretch of beach was â€œhomeâ€ for a few days. BRB, moving here permanently. #vacaymode #beachsunset #resortlife",,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/resort_scene_3.jpg,1387,42,19,,EunyeongM.,EunyeongM.,"Hi, Iâ€™m Eunyeong ğŸ‘‹
sharing bits of everyday life, small joys, travels, food, and everything in between",https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/resort_scene_3.jpg,,0,,separate posts,,
8,12.06.25 17:30,"â€œNote to self: book more trips, worry less. ğŸŒŠğŸ’«
Sunsets, quiet waves, and that sweet vacation-resort kind of freedom.â€",,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/personB_4.jpg,2154,176,49,,EunyeongM.,EunyeongM.,"Hi, Iâ€™m Eunyeong ğŸ‘‹
sharing bits of everyday life, small joys, travels, food, and everything in between",https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/resort_scene_3.jpg,,0,,separate posts,,
9,12.07.25 16:00,"Salt in my hair, sand everywhere, and a camera full of memories ğŸŒŠğŸ“¸
Last golden hour at the resort before real life calls again âœ¨",,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/personB_3.jpg,1491,23,73,,EunyeongM.,EunyeongM.,"Hi, Iâ€™m Eunyeong ğŸ‘‹
sharing bits of everyday life, small joys, travels, food, and everything in between",https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/resort_scene_3.jpg,,0,,separate posts,,
10,12.01.25 12:35,Our team is happy to welcome you aboard your next adventure,,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/ad%20image.jpg,4870,790,563,,American Airlines,AmericanAirlines,"Weâ€™re here to offer travel inspiration. Comments are not monitored for support inquiries. For more info or a formal response, visit bit.ly/3QBHRcx",https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/ad%20image%20user.jpg,1400000,1,https://www.aa.com/homePage.do,separate posts,,https://www.facebook.com/ads/library/?id=2263851134090846
11,12.03.25 14:00,"Spotted this little red sleigh upgrade ğŸ„ğŸš—
If this doesnâ€™t scream holiday spirit, I donâ€™t know what does.

#ChristmasInTheCity #MiniMoments #HolidayVibes",,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/control1.jpg,1947,94,227,,Holly S.,hollyyyy,"City wanderer ğŸš¶â€â™€ï¸ | Cozy corners, cute cars & coffee spots â˜•ï¸ğŸš— | Always chasing seasonal magic âœ¨",https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/control1_user%20image.jpg,,0,,separate posts,,
12,12.04.25 10:20,"Todayâ€™s stall looks like a little explosion of sunshine ğŸŒ»âœ¨
Which bouquet are you taking home â€” top left, top right, or bottom row? ğŸ’",,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/control2.jpg,1482,79,127,,Bloom & Co. Studio,bloomandcostudio,ğŸŒ¿ Seasonal florals â€¢ Small-batch bouquets â€¢ Local market magic,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/control2_user%20image.jpg,,0,,separate posts,,
13,12.06.25 13:15,"Wall of temptation in NYC ğŸ—½âœ¨
Trying so hard not to buy every single toteâ€¦ which one are you grabbing?
#newyorkcity #totebag #souvenirs #nycstyle",,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/control3.jpg,1200,67,59,,City Snack Stories,citysnackstories,"NYC explorer. Coffee in one hand, camera in the other. Streets, snacks & little souvenirs. ğŸ—½ğŸ©",https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/control3_user%20image.jpg,,0,,separate posts,,
14,12.07.25 10:30,"Stood here â€œjust to lookâ€ and somehow left with a bag full of pastries and zero regrets. ğŸ¥ğŸ’›
Can we make window-bakery shopping a love language?
#bakeryrun #citycrumbs #freshbread #carblover",,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/control4.jpg,982,29,74,,Urban Crumb,urbancrumbs,Chasing flaky croissants & good coffee in every city ğŸ¥âœ¨ / film & crumbs / DMs open for bakery recs,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/control4_user%20image.jpg,,0,,separate posts,,
15,12.07.25 18:00,"Resort reset ğŸ¤
Floating breakfasts, slow swims, sunset walks, sand everywhere and a drink always within reach. Spent the week chasing light, salty hair and quiet moments by the sea â€” not ready to go home yet.

#resortlife #beachdays #vacationmode #sunsetlover #traveldiary",,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/photo%20dump.png,2947,89,123,,EunyeongM.,EunyeongM.,"Hi, Iâ€™m Eunyeong ğŸ‘‹
sharing bits of everyday life, small joys, travels, food, and everything in between",https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/resort_scene_3.jpg,,0,,photo dump,,
10,12.01.25 12:35,Our team is happy to welcome you aboard your next adventure,,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/ad%20image.jpg,4870,790,563,,American Airlines,AmericanAirlines,"Weâ€™re here to offer travel inspiration. Comments are not monitored for support inquiries. For more info or a formal response, visit bit.ly/3QBHRcx",https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/ad%20image%20user.jpg,1400000,1,https://www.aa.com/homePage.do,photo dump,,https://www.facebook.com/ads/library/?id=2263851134090846
11,12.03.25 14:00,"Spotted this little red sleigh upgrade ğŸ„ğŸš—
If this doesnâ€™t scream holiday spirit, I donâ€™t know what does.

#ChristmasInTheCity #MiniMoments #HolidayVibes",,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/control1.jpg,1947,94,227,,Holly in the City,tinycartravels,"City wanderer ğŸš¶â€â™€ï¸ | Cozy corners, cute cars & coffee spots â˜•ï¸ğŸš— | Always chasing seasonal magic âœ¨",https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/control1_user%20image.jpg,,0,,photo dump,,
12,12.04.25 10:20,"Todayâ€™s stall looks like a little explosion of sunshine ğŸŒ»âœ¨
Which bouquet are you taking home â€” top left, top right, or bottom row? ğŸ’",,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/control2.jpg,1482,79,127,,Bloom & Co. Studio,bloomandcostudio,ğŸŒ¿ Seasonal florals â€¢ Small-batch bouquets â€¢ Local market magic,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/control2_user%20image.jpg,,0,,photo dump,,
13,12.06.25 13:15,"Wall of temptation in NYC ğŸ—½âœ¨
Trying so hard not to buy every single toteâ€¦ which one are you grabbing?
#newyorkcity #totebag #souvenirs #nycstyle",,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/control3.jpg,1200,67,59,,City Snack Stories,citysnackstories,"NYC explorer. Coffee in one hand, camera in the other. Streets, snacks & little souvenirs. ğŸ—½ğŸ©",https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/control3_user%20image.jpg,,0,,photo dump,,
14,12.07.25 10:30,"Stood here â€œjust to lookâ€ and somehow left with a bag full of pastries and zero regrets. ğŸ¥ğŸ’›
Can we make window-bakery shopping a love language?
#bakeryrun #citycrumbs #freshbread #carblover",,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/control4.jpg,982,29,74,,Urban Crumb,urbancrumbs,Chasing flaky croissants & good coffee in every city ğŸ¥âœ¨ / film & crumbs / DMs open for bakery recs,https://raw.githubusercontent.com/daviguo/DICE/refs/heads/main/control4_user%20image.jpg,,0,,photo dump,,